"name","path","description","enabled","dependency","required_mcp","required_env","classification","mentions_mcp","mentions_env"
"app-6a3293e129088191abf0875820e839da:ad-multiplier","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\ad-multiplier\SKILL.md","Create ordered independent edits from one supplied 4-30 second video with Ad Multiplier while preserving motion, timing, audio, and untargeted text. Activate for ""ad multiplier"", ""multiply my video or ad"", or several edits of one clip that replace, add, remove, or change people, products, objects, clothing, backgrounds, attributes, or targeted text. Do not use for ordinary generation, Marketing Studio presets, simple edits, out-of-range sources, or Cartesian asset combinations.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-6a3293e129088191abf0875820e839da:ai-host-video","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\ai-host-video\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-6a3293e129088191abf0875820e839da:faceless-video","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\faceless-video\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-6a3293e129088191abf0875820e839da:higgsfield","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\higgsfield\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-6a3293e129088191abf0875820e839da:motion-craft","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\motion-craft\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-6a3293e129088191abf0875820e839da:narrator","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\narrator\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-6a3293e129088191abf0875820e839da:subtitles","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\subtitles\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","YES"
"app-6a3293e129088191abf0875820e839da:thumbnail-generation","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\thumbnail-generation\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-6a3293e129088191abf0875820e839da:ugc-product-video","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\ugc-product-video\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-6a3293e129088191abf0875820e839da:ugc-review-video","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\ugc-review-video\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-6a3293e129088191abf0875820e839da:ugc-try-on-video","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\ugc-try-on-video\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-6a3293e129088191abf0875820e839da:ugc-tutorial-video","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\ugc-tutorial-video\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-6a3293e129088191abf0875820e839da:ugc-unboxing-video","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\ugc-unboxing-video\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-6a3293e129088191abf0875820e839da:ugc-website-video","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\ugc-website-video\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"app-6a3293e129088191abf0875820e839da:video-editing","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\video-editing\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-6a3293e129088191abf0875820e839da:website-builder","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\website-builder\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"app-6a3293e129088191abf0875820e839da:youtube-script","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\app-6a3293e129088191abf0875820e839da\2.1.0\skills\youtube-script\SKILL.md","Multiline description in SKILL.md","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"architecture","C:\Users\tjqmf\.codex\skills\architecture\SKILL.md","Use when a change spans multiple components, introduces a subsystem, or requires decisions about boundaries, interfaces, data flow, or ownership.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","RECOMMENDED","NO","NO"
"audio-setup-mixers","C:\Users\tjqmf\.agents\skills\audio-setup-mixers\SKILL.md","Scans the scene and audio assets to appropriately route Audio Sources into existing Audio Mixer Groups, classifying each source by what it plays. Use when the user asks about cleaning up mixer assignments, routing audio through a mixer, or which group a sound belongs in. Creating mixers and groups, and setting volumes, are not automated — the skill inventories what exists and asks the user to add anything missing.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"avengers","C:\Users\tjqmf\.agents\skills\avengers\SKILL.md","Use when a user explicitly says ""어벤저스"" for a development, app, or program project, or requests an Avengers-style dynamic multi-department team, cross-domain specialist orchestration, or independent role-based subagents for a complex development project.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"backend-services","C:\Users\tjqmf\.codex\skills\backend-services\SKILL.md","Use when implementing server-side business logic, endpoints, jobs, queues, workers, or service-to-service behavior.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","RECOMMENDED","NO","NO"
"brainstorming","C:\Users\tjqmf\.codex\skills\brainstorming\SKILL.md","Use when a new feature, subsystem, or ambiguous request needs problem framing and trade-off exploration before implementation.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"browser:control-in-app-browser","C:\Users\tjqmf\.codex\plugins\cache\openai-bundled\browser\26.915.31945\skills\control-in-app-browser\SKILL.md","Control the in-app Browser for opening, navigating, inspecting visible or interactive page state, clicking, typing, screenshots, and local web testing. It can have existing signed-in sessions. For semantic operations on linked resources, prefer a purpose-built connector, API, or CLI when available.","AVAILABLE_IN_SESSION_CATALOG","Codex bundled browser runtime","node_repl (body instruction)","NOT_DECLARED","OPTIONAL","YES","NO"
"build-live-game","C:\Users\tjqmf\.agents\skills\build-live-game\SKILL.md","Build and operate a live game using Unity Services. Use when the user needs to implement, connect, or debug backend-driven features — battle passes, achievements, player progression, cloud saves, leaderboards, matchmaking, virtual economies, server-authoritative logic, anti-cheat, player accounts and authentication, remote configuration, feature flags, A/B testing, analytics, or cloud resource deployment. Triggers on live-ops, live service, backend, server authority, cloud code, cloud save, remote config, player data, retention, monetization loop, season pass, ranking, multiplayer sessions, lobbies, or any Unity Services integration.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"build-release","C:\Users\tjqmf\.codex\skills\build-release\SKILL.md","Use when preparing builds, installers, packages, deployment artifacts, versioning, release checks, or rollback plans.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","RECOMMENDED","NO","NO"
"canva:canva-brand-check","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\canva\15.0.0\skills\canva-brand-check\SKILL.md","Check a Canva design against a brand kit and report where it diverges — off-palette colors, non-brand fonts, logo misuse, and off-tone copy. Read-only; makes no changes. Use when the user asks ""is this on brand"", ""check this against our brand kit"", ""do a brand review"", ""does this match our brand guidelines"", or ""brand-check my design"".","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"canva:canva-branded-presentation","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\canva\15.0.0\skills\canva-branded-presentation\SKILL.md","Create on-brand Canva presentations from an outline or brief. Use when the user asks to create a branded presentation, make an on-brand deck, turn an outline into slides, or generate a presentation from a brief. Input can be text directly in the message, a Canva design ID, a reference to a Canva doc by name, or a Canva design link (e.g., https://www.canva.com/design/...).","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"canva:canva-bulk-create","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\canva\15.0.0\skills\canva-bulk-create\SKILL.md","Bulk-create Canva designs from tabular data using a brand template with autofill fields, producing one design per row. Use when users say ""bulk create designs from this CSV"", ""generate one design per row"", ""create a design for each product"", ""batch generate from a template"", or ""autofill a template from a spreadsheet"". Accepts any tabular data source — uploaded files, pasted tables, JSON, or URLs.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"canva:canva-design-feedback","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\canva\15.0.0\skills\canva-design-feedback\SKILL.md","Read a Canva design and return structured, actionable design feedback — visual hierarchy, copy/messaging, layout & spacing, consistency, readability, and accessibility. Read-only; makes no changes to the design. Use when the user asks to ""review my design"", ""give me feedback on this"", ""critique my deck/poster/flyer"", ""how can I improve this design"", or ""what's wrong with this slide"".","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"canva:canva-edit-design","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\canva\15.0.0\skills\canva-edit-design\SKILL.md","Make edits to an existing Canva design — change or fix text, replace/insert/delete images and videos, reformat text (size, weight, style, color, alignment, lists, line height), reposition or resize elements, and update the title. Use when the user wants to change, edit, update, fix, translate, replace, or reformat content in a specific Canva design. This is the safe edit engine that other Canva skills (e.g. implement-feedback) build on.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"canva:canva-implement-feedback","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\canva\15.0.0\skills\canva-implement-feedback\SKILL.md","Implement reviewer feedback on a Canva design. Reads all comment threads, synthesises what reviewers want, makes the clear-cut changes directly, and flags anything that needs a human decision. Use when the user asks to ""implement feedback on my deck"", ""address comments on a design"", ""apply review feedback"", ""fix the comments on my presentation"", or ""implement the feedback"".","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"canva:canva-resize-for-social-media","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\canva\15.0.0\skills\canva-resize-for-social-media\SKILL.md","Resize a Canva design into multiple social media formats (Facebook post, Facebook story, Instagram post, Instagram story, LinkedIn post). Use this skill when users want to resize Canva designs specifically for multiple social media platforms in one operation, rather than resizing to a single format manually.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"canva:canva-translate-design","C:\Users\tjqmf\.codex\plugins\cache\openai-curated-remote\canva\15.0.0\skills\canva-translate-design\SKILL.md","Translate all text in a Canva design to another language, creating a translated copy. Faster than manually copying and editing each text box in Canva's editor. Use when users say ""translate my design to [language]"", ""make a Spanish/French/etc version"", or ""localize my Canva design"".","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"chatgpt-apps","C:\Users\tjqmf\.codex\skills\chatgpt-apps\SKILL.md","Build, scaffold, refactor, and troubleshoot ChatGPT Apps SDK applications that combine an MCP server and widget UI. Use when Codex needs to design tools, register UI resources, wire the MCP Apps bridge or ChatGPT compatibility APIs, apply Apps SDK metadata or CSP or domain settings, or produce a docs-aligned project scaffold. Prefer a docs-first workflow by invoking the openai-docs skill or OpenAI developer docs MCP tools before generating code.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"chrome:control-chrome","C:\Users\tjqmf\.codex\plugins\cache\openai-bundled\chrome\26.915.31945\skills\control-chrome\SKILL.md","Control the user's Chrome browser for tasks that depend on existing Chrome state: tabs, logged-in sessions, or extensions. Prefer purpose-built connectors, APIs, or CLIs when available.","AVAILABLE_IN_SESSION_CATALOG","Codex bundled Chrome runtime","node_repl (body instruction)","NOT_DECLARED","OPTIONAL","YES","NO"
"cli-creator","C:\Users\tjqmf\.codex\skills\cli-creator\SKILL.md","Build a composable CLI for Codex from API docs, an OpenAPI spec, existing curl examples, an SDK, a web app, an admin tool, or a local script. Use when the user wants Codex to create a command-line tool that can run from any repo, expose composable read/write commands, return stable JSON, manage auth, and pair with a companion skill.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","YES"
"cloudflare-deploy","C:\Users\tjqmf\.codex\skills\cloudflare-deploy\SKILL.md","Deploy applications and infrastructure to Cloudflare using Workers, Pages, and related platform services. Use when the user asks to deploy, host, publish, or set up a project on Cloudflare.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","YES"
"code-review","C:\Users\tjqmf\.codex\skills\code-review\SKILL.md","Use when reviewing a pull request, patch, diff, or completed implementation before merge or handoff.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","RECOMMENDED","NO","NO"
"computer-use:computer-use","C:\Users\tjqmf\.codex\plugins\cache\openai-bundled\computer-use\26.915.31945\skills\computer-use\SKILL.md","Control Windows apps from ChatGPT","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","OPTIONAL","NO","NO"
"context-efficiency","C:\Users\tjqmf\.codex\skills\context-efficiency\SKILL.md","Use when working in a large repository, long session, expensive context, or any task where broad reading would waste tokens and attention.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"database-data","C:\Users\tjqmf\.codex\skills\database-data\SKILL.md","Use when changing database schemas, queries, migrations, transactions, indexes, data models, or integrity rules.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","RECOMMENDED","NO","NO"
"debugging","C:\Users\tjqmf\.codex\skills\debugging\SKILL.md","Use when a test fails, an app crashes, behavior is inconsistent, or the cause of a defect is not yet proven.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","RECOMMENDED","NO","NO"
"define-goal","C:\Users\tjqmf\.codex\skills\define-goal\SKILL.md","Help the user define a concrete, measurable goal before starting work, especially when they ask to use the goal tool, create a goal, set an objective, clarify success criteria, or turn a fuzzy intention into a quantitative outcome. Use this skill for goal creation and goal refinement only; it does not manage durable snapshots, decision logs, or long-running execution artifacts.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"dependency-management","C:\Users\tjqmf\.codex\skills\dependency-management\SKILL.md","Use when adding, removing, pinning, replacing, or upgrading packages, frameworks, runtimes, SDKs, or build dependencies.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","RECOMMENDED","NO","NO"
"design-system","C:\Users\tjqmf\.codex\skills\design-system\SKILL.md","Use when creating, extending, auditing, or standardizing reusable design tokens, components, variants, states, and interface conventions.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","OPTIONAL","NO","NO"
"design-taste-frontend","C:\Users\tjqmf\.codex\skills\taste-skill\SKILL.md","Anti-slop frontend skill for landing pages, portfolios, and redesigns. The agent reads the brief, infers the right design direction, and ships interfaces that do not look templated. Real design systems when applicable, audit-first on redesigns, strict pre-flight check.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","OPTIONAL","YES","NO"
"design-to-code","C:\Users\tjqmf\.codex\skills\design-to-code\SKILL.md","Use when translating Figma, screenshots, mockups, design specifications, or visual references into production interface code.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"desktop-windows","C:\Users\tjqmf\.codex\skills\desktop-windows\SKILL.md","Use when building or modifying Windows desktop apps, services, registry access, filesystem operations, installers, or privileged system interactions.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","RECOMMENDED","NO","NO"
"documents:documents","C:\Users\tjqmf\.codex\plugins\cache\openai-primary-runtime\documents\26.905.11957\skills\documents\SKILL.md","Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final document.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","NO","NO"
"figma","C:\Users\tjqmf\.codex\skills\figma\SKILL.md","Use the Figma MCP server to fetch design context, screenshots, variables, and assets from Figma, and to translate Figma nodes into production code. Trigger when a task involves Figma URLs, node IDs, design-to-code implementation, or Figma MCP setup and troubleshooting.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","YES"
"figma-code-connect-components","C:\Users\tjqmf\.codex\skills\figma-code-connect-components\SKILL.md","Connects Figma design components to code components using Code Connect mapping tools. Use when user says ""code connect"", ""connect this component to code"", ""map this component"", ""link component to code"", ""create code connect mapping"", or wants to establish mappings between Figma designs and code implementations. For canvas writes via `use_figma`, use `figma-use`.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"figma-create-design-system-rules","C:\Users\tjqmf\.codex\skills\figma-create-design-system-rules\SKILL.md","Generates custom design system rules for the user's codebase. Use when user says ""create design system rules"", ""generate rules for my project"", ""set up design rules"", ""customize design system guidelines"", or wants to establish project-specific conventions for Figma-to-code workflows. Requires Figma MCP server connection.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"figma-create-new-file","C:\Users\tjqmf\.codex\skills\figma-create-new-file\SKILL.md","Create a new blank Figma file. Use when the user wants to create a new Figma design or FigJam file, or when you need a new file before calling use_figma. Handles plan resolution via whoami if needed. Usage — /figma-create-new-file [editorType] [fileName] (e.g. /figma-create-new-file figjam My Whiteboard)","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"figma-generate-design","C:\Users\tjqmf\.codex\skills\figma-generate-design\SKILL.md","Use this skill alongside figma-use when the task involves translating an application page, view, or multi-section layout into Figma. Triggers: 'write to Figma', 'create in Figma from code', 'push page to Figma', 'take this app/page and build it in Figma', 'create a screen', 'build a landing page in Figma', 'update the Figma screen to match code'. This is the preferred workflow skill whenever the user wants to build or update a full page, screen, or view in Figma from code or a description. Discovers design system components, variables, and styles via search_design_system, imports them, and assembles screens incrementally section-by-section using design system tokens instead of hardcoded values.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
"figma-generate-library","C:\Users\tjqmf\.codex\skills\figma-generate-library\SKILL.md","Build or update a professional-grade design system in Figma from a codebase. Use when the user wants to create variables/tokens, build component libraries, set up theming (light/dark modes), document foundations, or reconcile gaps between code and Figma. This skill teaches WHAT to build and in WHAT ORDER — it complements the `figma-use` skill which teaches HOW to call the Plugin API. Both skills should be loaded together.","AVAILABLE_IN_SESSION_CATALOG","NOT_DECLARED","NOT_DECLARED","NOT_DECLARED","IRRELEVANT","YES","NO"
